Input,Text
GLAMGLOW BUBBLESHEET™ Oxygenating Deep Cleanse Mask - Breast Cancer Awareness Edition,"Water, Glycerin, Methyl Perfluorobutyl Ether, Acrylates Copolymer, Cocamidopropyl Betaine, Disodium Cocoamphodiacetate, Lauryl Glucoside, Retinyl Palmitate, Allantoin, Arginine, Camellia Sinensis Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Ascorbyl Glucoside, Ethylhexylglycerin, Ceramide Np, Sodium Pca, Sodium Chloride, Saccharide Isomerate, Polyquaternium- 10, Potassium Cocoyl Glycinate, Potassium Cocoate, Hexylene Glycol, Butylene Glycol, Citric Acid, Hydroxyethyl Urea, Citrus Limon (Lemon) Peel Oil, Limonene, Citral, Sodium Citrate, Disodium Edta, Phenoxyethanol."
LA MER Little Miss Miracle Limited-Edition Crème de la Mer,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil, Sesamum Indicum (Sesame) Seed Powder, Medicago Sativa (Alfalfa) Seed Powder, Helianthus Annuus (Sunflower) Seedcake, Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Magnesium Sulfate, Paraffin, Tocopheryl Succinate, Niacin, Water, Beta-Carotene, Decyl Oleate, Aluminum Distearate, Octyldodecanol, Citric Acid, Cyanocobalamin, Magnesium Stearate, Panthenol, Limonene, Geraniol, Linalool, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Citral, Sodium Benzoate, Alcohol Denat., Fragrance."
TATCHA Luminous Dewy Skin Night Concentrate,"Water, Glycerin, Propanediol, Squalane, Cyclopentasiloxane, Triethylhexanoin, Panax Ginseng Root Extract, Origanum Majorana Leaf Extract, Ziziphus Jujuba Fruit Extract, Thymus Serpyllum Extract, Royal Jelly Extract, Stearyl Glycyrrhetinate, Camellia Sinensis Leaf Extract, Algae Extract, Scutellaria Baicalensis Root Extract, Oryza Sativa (Rice) Germ Oil, Camellia Japonica Seed Oil, Sericin, Inositol, Glyceryl Stearate Se, Polyglyceryl-2 Diisostearate, Ppg-5-Ceteth-10 Phosphate, Sodium Lauroyl Lactylate, Sorbitan Stearate, Trideceth-12, Ethylhexylglycerin, Peg-240/Hdi Copolymer Bis-Decyltetradeceth-20 Ether, Butylene Glycol, Behenyl Alcohol, Parfum/Fragrance, Alcohol, Phenoxyethanol."
FRESH Vitamin Nectar Vitamin C Brightening Powder,"Packette 2: Oryza Sativa (Rice) Starch, Ascorbic Acid, Hydrated Silica."
PHILOSOPHY Purity Made Simple Cleanser,"Water, Sodium Lauroamphoacetate, Sodium Trideceth Sulfate, Limnanthes Alba (Meadowfoam) Seed Oil, Coco-Glucoside, Coconut Alcohol, Peg-120 Methyl Glucose Dioleate, Glycerin, Carbomer, Isopropyl Alcohol, Polysorbate 20, Citric Acid, Imidazolidinyl Urea, Methylparaben, Aniba Rosaeodora (Rosewood) Wood Oil, Propylparaben, Triethanolamine, Amyris Balsamifera Bark Oil, Bulnesia Sarmientoi Wood Oil, Cymbopogon Martini Oil, Pelargonium Graveolens Flower Oil, Rosa Centifolia Flower Oil, Santalum Album (Sandalwood) Oil, Daucus Carota Sativa (Carrot) Seed Oil, Mimosa Tenuiflora Bark Extract, Ormenis Multicaulis Oil, Piper Nigrum (Pepper) Fruit Oil, Salvia Sclarea (Clary) Oil, Fd&C Yellow No. 5 (Ci 19140)."
GLAMGLOW YOUTHMUD™ Tinglexfoliate Treatment,"Water, Montmorillonite, Kaolin, Magnesium Aluminum Silicate, Silica, Pumice, Camellia Sinensis Leaf, Cucumis Sativus (Cucumber) Fruit Extract, Chamomilla Recutita (Matricaria) Extract, Hedera Helix (Ivy) Extract, Symphytum Officinale (Comfrey) Leaf Extract, Camellia Oleifera Leaf Extract, Glycerin, Tocopheryl Acetate, Calendula Officinalis Extract, Ethylhexylglycerin, Hexylene Glycol, Lavandula Hybrida (Lavandin) Oil, Caprylyl Glycol, Pvp, Xanthan Gum, Fragrance, Hexyl Cinnamal, Linalool, Benzyl Benzoate, Limonene, Cinnamal, Chlorphenesin, Phenoxyethanol"
GUERLAIN Abeille Royale Youth Watery Oil,-Black Bee Honey -Ouessant Honey: Repairs skin. -Guerlain Exclusive Royal Jelly: Nourishes skin. -Commiphora Oil: Renews skin.
OLEHENRIKSEN Goodnight Glow Retin-ALT Sleeping Crème,"Water, Glycerin, Vitis Vinifera (Grape) Seed Oil, C12-15 Alkyl Benzoate, Dicaprylyl Carbonate, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Lactic Acid, Glycolic Acid, Glyceryl Stearate, Potassium Hydroxide, Propanediol, Polysorbate 60, Panthenol, Dimethicone, Cetyl Alcohol, Parfum/Fragrance, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyacetophenone, Bakuchiol, Leontopodium Alpinum Callus Culture Extract, Isohexadecane, Linoleic Acid, Peg-75 Stearate, Phenoxyethanol, Cetearyl Glucoside, Polysorbate 80, Steareth-20, Ceteth-20, Linolenic Acid, Xanthan Gum, Citric Acid, Ethylhexylglycerin, Enteromorpha Compressa Extract, Sorbitan Oleate, Santalum Album (Sandalwood) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Saccharum Officinarum (Sugar Cane) Extract, Citrus Limon (Lemon) Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Leuconostoc/Radish Root Ferment Filtrate, Sodium Phytate, Silybum Marianum Fruit Extract, Ocimum Sanctum Leaf Extract, Tocopherol, Violet 2 (Ci 60730), Red 4 (Ci 14700), Limonene, Linalool, Citral."
MOON JUICE Beauty Shroom™ Exfoliating Acid Potion,"Water, Glycolic Acid, Phytic Acid, Sodium Hydroxide, Niacinamide, Propanediol, Glycereth-7 Trimethyl Ether, Lactic Acid, Salicylic Acid, Allantoin, Ganoderma Lucidum (Reishi Mushroom) Extract, Tocotrienols, Glycerin, Polyglyceryl-10 Oleate, Oryza Sativa (Rice) Bran Oil, Tocopherol, Salvia Sclarea (Clary) Oil, Citric Acid, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Honeysuckle) Flower Extract."
BOSCIA The Future is Female Peppermint Blotting Linens,"-Natural Abaca Tree Fiber: Absorbs oil and perspiration. -Peppermint Extract: Provides refreshing, aromatherapeutic benefits."
LA MER The Moisturizing Cool Gel Cream,"Water, Butylene Glycol, Glycerin, Glycereth-26, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Cyclopentasiloxane, Cyclohexasiloxane, Glyceryl Stearate, PEG-100 Stearate, Polysorbate 60, Sodium Hyaluronate, Butyrospermum Parkii (Shea) Butter, Dimethicone, 1,2-Hexanediol, Cetearyl Alcohol, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Egg Yolk Extract, Sodium Polyacrylate, Arginine, Ethylhexylglycerin, Xanthan Gum, Adenosine, Tocopheryl Acetate, Hydrolyzed Collagen, Albumen Extract, Ubiquinone, Disodium EDTA, Fragrance."
SUPERGOOP! Forever Young Body Butter with Sea Buckthorn SPF 40 PA+++,"Water, Isononyl Isononanoate, Caprylyl,, Methicone, Dicaprylyl Ether, Polyester-8, Dimethicone, Glycerin, Propanediol, Cetearyl Alcohol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer Sorbitan Stearate, Phenoxyethanol, Pyrus Malus (Apple) Fruit Extract, Potassium Cetyl Phosphate, Ceteareth-20, Sodium Polyacrylate Starch, Diethylhexyl Syringylidenemalonate, Sodium PCA, Hydrogenated Palm Glycerides, Ethylhexylglycerin, Chlorphenesin, Sodium Ascorbyl Glucoside, Butylene Glycol, Disodium EDTA, Trimethylcyclohexyl Butylcarbamate, Xanthan Gum, Citrus Tangerina (Tangerine) Peel Oil, Cymbopogon Schoenanthus Oil, Elettaria Cardamomum Seed Oil, Eucalyptus Globulus Leaf Oil, Eugenia Caryophyllus (Clove) Flower Oil, Lavandula Hybrida Oil, Vanillin, Limonene, Polygonum Aviculare Extract, BHT, Citral, Hippophae Rhamnoides Fruit Extract Maltodextrin, Portulaca Oleracea Extract Potassium Sorbate, Sodium Benzoate, Tocopherol."
FARMACY Coconut Gel Sheet Mask - Hydrating,"Water, Glycerin, Propanediol, Methylpropanediol, 1,2-Hexanediol, Polyglycerin-3, Cocos Nucifera (Coconut) Water, Echinacea Purpurea Root Extract, Sodium Hyaluronate, Cucumis Sativus (Cucumber) Fruit Extract, Collagen, Panthenol, Allantoin, Tocopherol, Betaine, Beta-Glucan, Saccharide Isomerate, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Bergamia, (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Myrciaria Dubia Fruit Extract, Artemisia Vulgaris Extract, Cananga Odorata Flower Oil, Salvia Officinalis (Sage) Leaf Extract, Zingiber Officinale (Ginger) Root Oil, Cetearyl Olivate, Butylene Glycol, Sorbitan Olivate, Trehalose, Polyglyceryl-10 Laurate, Diethoxyethyl Succinate, Ammonium, Acryloyldimethyltaurate/Vp Copolymer, Carbomer, Arginine, Caprylyl Glycol, Ethylhexylglycerin, Xanthan Gum, Trisodium Ethylenediamine Disuccinate, Caprylic/Capric Triglyceride, Leuconostoc/Radish Root Ferment Filtrate, T-Butyl Alcohol, Citric Acid, Sodium Citrate."
TOO COOL FOR SCHOOL Egg Cream Mask Firming,"Water, Butylene Glycol, Glycerin, Glycereth-26, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Cyclopentasiloxane, Cyclohexasiloxane, Glyceryl Stearate, PEG-100 Stearate, Polysorbate 60, Sodium Hyaluronate, Butyrospermum Parkii (Shea) Butter, Dimethicone, 1,2-Hexanediol, Cetearyl Alcohol, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Egg Yolk Extract, Sodium Polyacrylate, Arginine, Ethylhexylglycerin, Xanthan Gum, Adenosine, Tocopheryl Acetate, Hydrolyzed Collagen, Albumen Extract, Ubiquinone, Disodium EDTA, Fragrance."
SHISEIDO Bio-Performance Glow Revival Serum,"Water, Dipropylene Glycol, Glycerin, Dimethicone, Diphenylsiloxy Phenyl Trimethicone, Sd Alcohol 40-B (Alcohol Denat.), Peg-20, Trehalose, Pentaerythrityl Tetraethylhexanoate, Behenyl Alcohol, Silica, Isostearic Acid, Mica, Phytosteryl Macadamiate, Titanium Dioxide (Ci 77891), Stearyl Alcohol, Phenoxyethanol, Sodium Methyl Stearoyl Taurate, Lauryl Betaine, Methylparaben, Carbomer, Xylitol, Tocopheryl Acetate, Sodium Hyaluronate, Potassium Hydroxidw, Disodium Edta, Fragrance, Glycyl Glycine, 2-O-Ethyl Ascorbic Acid, Sodium Metaphosphate, Butylene Glycol, Limonene, Sodium Metabisulfite, Dipotassium Glycyrrhizate, Oryzanol, Magnesium Ascorbyl Phosphate, Saccharomyces Ferment Lysate Filtrate, Alcohol, Hexyl Cinnamal, Benzyl Benzoate, Butylphenyl Methylpropional, Linalool, Sodium Acetylated Hyaluronate, Iron Oxides (Ci 77491), Alpha-Isomethyl Ionone, Crataegus Monogyna Flower Extract, Citronellol, Geraniol, Sodium Benzoate, Tocopherol, Camellia Sinensis Leaf Extract, Cinnamomum Cassia Bark Extract."
AMOREPACIFIC Color Control Cushion Compact Broad Spectrum SPF 50+,"Phyllostachis Bambusoides Juice, Cyclopentasiloxane, Cyclohexasiloxane, Peg-10 Dimethicone, Phenyl Trimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Alcohol, Arbutin, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Polyhydroxystearic Acid, Sodium Chloride, Polymethyl Methacrylate, Aluminium Hydroxide, Stearic Acid, Disteardimonium Hectorite, Triethoxycaprylylsilane, Ethylhexyl Palmitate, Lecithin, Isostearic Acid, Isopropyl Palmitate, Phenoxyethanol, Polyglyceryl-3 Polyricinoleate, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Dimethicone, Disodium Edta, Trimethylsiloxysilicate, Ethylhexyglycerin, Dimethicone/Vinyl Dimethicone Crosspolymer, Water, Silica, Camellia Japonica Seed Oil, Camillia Sinensis Leaf Extract, Caprylyl Glycol, 1,2-Hexanediol, Fragrance, Titanium Dioxide, Iron Oxides (Ci 77492, Ci 77491, Ci77499)."
DR. JART+ Clear Skin Lover Rubber Mask,"Water, Methylpropanediol, Chondrus Crispus Extract, Glycerin, 1,2-Hexanediol, Algin, Calcium Lactate, Butylene Glycol, Gelidium Cartilagineum Extract,Laminaria Japonica Extract, Enteromorpha Compressa Extract, Spirulina PlatensisExtract, Undaria Pinnatifida Extract, Dipotassium Glycyrrhizate, Panthenol,Allantoin, PEG-60 Hydrogenated Castor Oil, Titanium Dioxide, Polymethylsilsesquioxane,Peat Water, Potassium Sorbate, Acacia Senegal Gum, Hydroxypropyl Methylcellulose,Silica, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Disodium EDTA, CeratoniaSiliqua Gum, Sucrose, Potassium Chloride, Xanthan Gum, Citric Acid, SodiumCitrate, Phenoxyethanol, Ethylhexylglycerin."
SATURDAY SKIN Spotlight Brightening Mask,"Saccharomyces Ferment, Water, Methylpropanediol, 1,2-Hexanediol, Alcohol, Glycerin, Dipropylene Glycol, Butylene Glycol, Vaccinium Vitis-Idaea Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Nelumbo Nucifera Flower Extract, Citrus Medica Limonum (Lemon) Peel Oil, Juniperus Mexicana Oil, Lavandula Angustifolia (Lavender) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Eucalyptus Globulus Leaf Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Hydrogenated Lecithin, Cholesterol, sh-Polypeptide-1, sh-Polypeptide-8, sh-Polypeptide-9, sh-Polypeptide-45, sh-Polypeptide-22, sh-Oligopeptide-1, sh-Oligopeptide-2, PEG-800, Polysorbate 20, Carbomer, Disodium EDTA, Potassium Hydroxide, Ethylhexylglycerin."
SHISEIDO Benefiance NutriPerfect Day Cream Broad Spectrum SPF 18,"Water, Butylene Glycol, Glycerin, Glycereth-26, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Cyclopentasiloxane, Cyclohexasiloxane, Glyceryl Stearate, PEG-100 Stearate, Polysorbate 60, Sodium Hyaluronate, Butyrospermum Parkii (Shea) Butter, Dimethicone, 1,2-Hexanediol, Cetearyl Alcohol, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Egg Yolk Extract, Sodium Polyacrylate, Arginine, Ethylhexylglycerin, Xanthan Gum, Adenosine, Tocopheryl Acetate, Hydrolyzed Collagen, Albumen Extract, Ubiquinone, Disodium EDTA, Fragrance."
PHILOSOPHY Ultimate Miracle Worker Eye Cream,"Water, Glycerin, Dicaprylyl Carbonate, Isononyl Isononanoate, Methyl Methacrylate Crosspolymer, Dimethicone, Cyclopentasiloxane, Tribehenin Peg-20 Esters, Cetyl Alcohol, Isostearyl Isostearate, Trisiloxane, Glyceryl Stearate, Peg-100 Stearate, Cetyl Stearate, Stearic Acid, Bifida Ferment Lysate, Potassium Cetyl Phosphate, Phenoxyethanol, Dimethicone Crosspolymer, Caffeine, Chlorphenesin, Propylene Glycol, Carbomer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycine Soja (Soybean) Oil, Sodium Hydroxide, Squalane, Hippophae Rhamnoides Oil, Iris Pallida Root Extract, Ruby Powder, Disodium Edta, Alcohol, Algae Extract, Mica, Lecithin, Ascorbyl Glucoside, Adenosine, Cellulose Gum, Ginkgo Biloba Leaf Extract, Retinol, Peg-8, Polysorbate 20, Polysorbate 60, Calcium Sodium Phosphosilicate, Bht, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Chitosan, Ethylhexylglycerin, Glycolic Acid, Sorbitan Oleate, Tocopherol, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Glucose, Lactic Acid, Behentrimonium Chloride, Glycyrrhiza Uralensis (Licorice) Root Extract, Sodium Benzoate, Ascorbyl Palmitate, Potassium Phosphate, Potassium Sorbate, Camellia Sinensis Leaf Extract, Coffea Arabica (Coffee) Seed Extract, Pongamia Pinnata Seed Extract, Isopropyl Alcohol, Acetic Acid, Angelica Archangelica Root Extract, Citrus Aurantium Amara (Bitter Orange) Peel Extract, Maltodextrin, Citric Acid, Magnesium Aluminum Silicate, Xanthan Gum, Ascorbic Acid, Glycyrrhiza Glabra (Licorice) Rhizome/Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Caprylyl Glycol, Sclerotium Gum, Bha, Sorbic Acid, Titanium Dioxide (Ci 77891)."
CLINIQUE Super City Block Oil-Free Daily Face Protector Broad Spectrum 40 SPF,"Octinoxate 7.50% , Octisalate 2.00% , Titanium Dioxide 7.30% , Zinc Oxide 9.60%Water , Trioctyldodecyl Citrate , Butylene Glycol , Dimethicone , Octyldodecyl Neopentanoate , Steareth-2 , Silica , Rosa Roxburghii Fruit Extract , Citrus Unshiu Peel Extract , Porphyra Yezoensis (Algae) Extract , Glycyrrhiza Glabra (Licorice) Root Extract , Saccharomyces Lysate Extract , Cucumis Sativus (Cucumber) Fruit Extract , Betula Alba (Birch) Bark Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Rosmarinus Officinalis (Rosemary) Leaf Extract , Helianthus Annuus (Sunflower) Seedcake , Gentiana Lutea (Gentian) Root Extract , Yeast Extract/Faex/Extrait De Levure , Sodium Rna , Magnesium Ascorbyl Phosphate , Dipotassium Glycyrrhizate , Tocopheryl Acetate , Pantethine , Squalane , Polyglyceryl-6 Polyricinoleate , Propylene Glycol Dicaprate , Chamomilla Recutita (Matricaria) , Hexylene Glycol , Peg/Ppg-18/18 Dimethicone , Caprylyl Glycol , Barium Sulfate , Polyethylene , Magnesium Aluminum Silicate , Lecithin , Ceteth-2 , Peg-40 Stearate , Sodium Stearate , Steareth-20 , Sorbitan Tristearate , Isopropyl Titanium Triisostearate , Xanthan Gum , Stearic Acid , Aluminum Hydroxide , Citric Acid , Disodium Edta , Bht , Phenoxyethanol , Mica , Iron Oxides (Ci 77491, Ci 77492, Ci 77499) , Titanium Dioxide (Ci 77891)"
LANCÔME Hydra Zen Anti-Stress Gel Moisturizer,"Water, Glycerin, Cyclohexasiloxane, Cetearyl Ethylhexanoate, Alcohol Denat., Ammonium Polyacryloyldimethyl Taurate, Ci 14700, Red 4, T-Butyl Alcohol, Madecassoside, Phenoxyethanol, Paeonia Suffruticosa Root Extract, Eugenol, Triethanolamine, Chlorphenesin, Salicylic Acid, Dimethicone, Dimethiconol, Limonene, Xanthan Gum, Benzyl Alcohol, Isopropyl Myristate, Propylene Glycol, Alpha-Isomethyl Ionone, Sorbitol, Moringa Pterygosperma Seed Extract, Disodium Edta, Rosa Gallica Flower Extract, Disodium Phosphate, Butylene Glycol, Butylphenyl Methylpropional, Citric Acid, Fragrance."
OLEHENRIKSEN Banana Bright Eye Crème,"Water, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Isododecane, Coconut Alkanes, Tetrahexyldecyl Ascorbate, Polyglyceryl-3 Rice Branate, Polyglyceryl-3 Beeswax, Cetearyl Alcohol, 3-0-Ethyl Ascorbic Acid, Glycerin, Dilinoleic Acid/Propanediol Copolymer, Polymethylsilsesquioxane, Cocoyl Proline, Pentaerythrityl Tetraisostearate, Dimethicone Crosspolymer, HDI/Trimethylol Hexyllactone Crosspolymer, Polyacrylate-13, Mica, Polysorbate 20, Caprylyl Glycol, Titanium Dioxide (CI 77891), Polyglyceryl-6 Ricinoleate, Polyglyceryl-6 Caprylate, Polyglyceryl-4 Caprate, Polyglyceryl-3 Cocoate, Phenoxyethanol, Coco-Caprylate/Caprate, Polyisobutene, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Parfum/Fragrance, Tamarindus Indica Seed Polysaccharide, Tocopheryl Acetate, Rosa Canina Fruit Extract, Lycium Barbarum Fruit Extract, Hippophae Rhamnoides Extract, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Sodium Hydroxide, Sorbic Acid, Iron Oxides (CI 77491), Leuconostoc/Radish Root Ferment Filtrate, Sorbitan Isostearate, Silica, Sodium Benzoate, Propanediol, Vegetable Collagen, Aroma/Flavor, Ascorbic Acid, Linoleic Acid, Pullulan, Nannochloropsis Oculata Extract, Linolenic Acid, Citric Acid, Potassium Sorbate, Tocopherol, Citral, Limonene, Linalool."
DIOR Capture Totale Multi-Perfection Creme Refill,"Water, Butylene Glycol, Glycerin, Glycereth-26, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Cyclopentasiloxane, Cyclohexasiloxane, Glyceryl Stearate, PEG-100 Stearate, Polysorbate 60, Sodium Hyaluronate, Butyrospermum Parkii (Shea) Butter, Dimethicone, 1,2-Hexanediol, Cetearyl Alcohol, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Egg Yolk Extract, Sodium Polyacrylate, Arginine, Ethylhexylglycerin, Xanthan Gum, Adenosine, Tocopheryl Acetate, Hydrolyzed Collagen, Albumen Extract, Ubiquinone, Disodium EDTA, Fragrance."
KATE SOMERVILLE Wrinkle Warrior® Pink Plumping Mask,"Water, Propanediol, Glycerin, Pyrus Malus (Apple) Fruit Extract, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Methylglucoside Phosphate, Copper Lysinate/Prolinate, Disodium Acetyl Glucosamine Phosphate, Chondrus Crispus Extract, Adenosine, Gluconolactone, Carbomer, 1,2-Hexanediol, Sodium Hydroxide, Caprylhydroxamic Acid, Disodium EDTA, PEG-40 Hydrogenated Castor Oil, PPG-26-Buteth-26, Calcium Sodium Borosilicate, Fragrance (Parfum), Sodium Benzoate, Phenoxyethanol, Titanium Dioxide (CI 77891), Tin Oxide (CI 77861), Red 40 (CI 16035), Red 33 (CI 17200)."
BIOSSANCE 100% Squalane Oil,-100 Percent Sugarcane-Derived Squalane.
ESTÉE LAUDER Resilience Lift Firming/Sculpting Eye Creme,"Res Lift Frm/Sclp Eye Creme Division: El (Estee Lauder)Ingredients: Water , Butyrospermum Parkii (Shea Butter) , Butylene Glycol , Dimethicone , Cetearyl Alcohol , Cetyl Esters , Glycerin , Cetyl Alcohol , Isostearyl Neopentanoate , Polybutene , Cucumis Melo (Melon) Fruit Extract , Mimosa Tenuiflora Bark Extract , Narcissus Tazetta Bulb Extract , Plankton Extract , Caffeine , Malachite , Laminaria Digitata Extract , Algae Extract , Artemia Extract , Persea Gratissima (Avocado) Oil , Whey Protein/Lactis Protein/Proteine Du Petit-Lait , Cholesterol , Yeast Extract/Faex/Extrait De Levure , Anthemis Nobilis (Chamomile) , Saccharomyces Ferment Lysate Filtrate , Acetyl Hexapeptide-8 , Lecithin , Methyl Glucose Sesquistearate , Sorbitol , Polyethylene , Cetearyl Glucoside , Neopentyl Glycol Diheptanoate , Acetyl Glucosamine , Caprylyl Glycol , Sodium Hyaluronate , 1,2-Hexanediol , Lauryl Pca , Linoleic Acid , Tocopheryl Acetate , Polymethyl Methacrylate , Acrylates/C10-30 Alkyl Acrylate Crosspolymer , Trehalose , Zinc Pca , Aminopropyl Ascorbyl Phosphate , Propylene Glycol Dicaprylate , Cholesterol/Potassium Sulfate , Decarboxy Carnosine Hcl , Maltodextrin , Ergothioneine , Polyaminopropyl Biguanide , Carbomer , Hydrogenated Starch Hydrolysate , Citric Acid , Sodium Hydroxide , Disodium Edta , Bht , Phenoxyethanol , Iron Oxides (Ci 77491, Ci 77492, Ci 77499) , Titanium Dioxide (Ci 77891) , Mica"
OMOROVICZA Ultramoor Mud Mask,"-Essential Oils of Sage, Chamomile, Rosemary, Rose Geranium and Camphor: Provide a cooling and soothing effect. -Marine Exopolysaccharides: Create the appearance of plumper skin and diminish the look of fine lines. -Hungarian Moor Mud: Purifies and detoxifies while providing essential minerals calcium, magnesium carbonates, humic acid, and fulvic acid. -Hectorite Clay: Draws out impurities and hydrates the skin. -A Complex of Oligopeptides and Amino Acids: Gently resurface the skin, eliminating dead cells for a brighter, smoother-looking and more even-toned complexion. -Omorovicza’s patented Hydro Mineral Transference™ Delivery System: Leaves skin looking firmer and more supple."
